PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Log_Pred,MLP_Pred
6,0,552,10,336,8,19,19,19,0,0,0,254,255,100,40,40,100,552,336,100,1,0,0,4416000,2688000,18,0,0,0,0,16383,16383,25600,0,0,0,1,TRUE,TRUE
6,7,774,10,4234,10,27,27,19,0,0,0,62,63,1500,40,40,1500,774,4234,211,1,1989,2,6192000,33872000,14,2,2,0,2,16383,16383,54016,0,0,0,1,FALSE,TRUE
6,7,2410,16,43176,38,27,27,19,0,0,0,62,63,1500,40,40,1500,2410,43176,949,2,21460,16,19280000,345408000,20,0,4,2,28,16383,16383,46336,0,0,0,1,FALSE,FALSE
6,1,309,7,555,7,24,24,16,0,0,0,62,63,108,47,47,108,604,839,150,3,232,3,3656000,4976000,23,0,0,0,0,16383,16383,38400,0,0,227,1,FALSE,TRUE
6,0,3182,52,36282,54,27,27,27,0,0,0,31,32,1352,52,52,1352,3182,36282,547,6,17721,19,25456000,290256000,78,0,4,0,24,33304,14480,8960,0,0,0,0,FALSE,FALSE
6,0,352,8,3742,10,19,19,19,0,0,0,62,63,1500,40,40,1500,352,3742,0,0,1743,2,2816000,29936000,14,2,0,0,2,16383,16383,0,0,0,0,1,FALSE,FALSE
6,7,1684,14,10168,18,27,27,27,4294951,16,16,31,32,1500,52,52,1500,1684,10168,578,2,4820,4,792000,4784000,20,0,6,0,6,11584,8688,16896,0,0,0,0,FALSE,FALSE
6,0,742,10,336,8,19,19,19,0,0,0,254,255,195,40,40,195,742,336,195,1,0,0,5936000,2688000,16,2,0,0,0,16383,16383,49920,0,0,0,1,TRUE,TRUE
6,1,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934,3742,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,0,0,0,0,FALSE,FALSE
6,1,1251,23,1752,25,24,24,24,0,0,0,31,32,106,52,52,106,1698,1994,309,5,517,6,8552000,9520000,59,0,0,0,0,15928,14480,13568,0,0,229,0,FALSE,FALSE
